Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
6243,Alien: Isolation,PS3,Sega,Creative Assembly,,,0.33,2014
6244,Extra Bases,GB,Bandai,Namco,,,0.33,1991
6245,Shin Megami Tensei: Devil Summoner: Soul Hackers,3DS,Atlus,Atlus,,,0.33,2013
6246,The Crew 2,XOne,Ubisoft,Ivory Tower,6.9,5,0.33,2018
6247,Super Power League 2,SNES,Hudson Soft,Hudson Soft,,,0.33,1994
6248,Binary Domain,PS3,Sega,Amusement Vision,7.5,,0.33,2012
6249,Planet Puzzle League,DS,Nintendo,Intelligent Systems,8.6,,0.33,2007
6250,Minute to win it,X360,Zoo Games,Zoo Entertainment Inc.,,,0.33,2011
6251,MLB 09: The Show,PS2,Sony Computer Entertainment,SCE San Diego Studio,,,0.33,2009
6252,Botanicula,PC,Amanita Design,Amanita Design,9,8.3,0.33,2012
6253,Hell's Kitchen: The Game,Wii,Ubisoft,Ludia Inc.,,,0.33,2008
6254,Cool Boarders 2001,PS2,Sony Computer Entertainment,Idol Minds Digital Entertainment,7.8,,0.33,2001
6255,Classic NES Series: Castlevania,GBA,Nintendo,Konami,7.4,,0.33,2004
6256,Grow Home,PC,Ubisoft,Ubisoft Reflections,7.5,7.3,0.33,2015
6257,Scooby-Doo! First Frights,PS2,Warner Bros. Interactive,Torus Games,5,,0.33,2009
6258,Fight Night Round 3,XB,EA Sports,EA Chicago,8,,0.33,2006
6259,GT Advance Championship Racing,GBA,THQ,MTO,7.5,,0.33,2001
6260,Way of the Samurai 2,PS2,Capcom,Acquire,6,,0.33,2004
6261,Lego Batman 3: Beyond Gotham,PC,Warner Bros. Interactive Entertainment,Traveller's Tales,,,0.33,2014
6262,Naruto: Rise of a Ninja,X360,Ubisoft,Ubisoft Montreal,7.8,,0.33,2007
6263,BattleTanx,N64,3DO,3DO,8,,0.33,1998
6264,Ultimate NES Remix,3DS,Nintendo,Nintendo,7,7.7,0.33,2014
6265,Pitfall 3D: Beyond the Jungle,PS,Activision,Activision,,,0.33,1998
6266,Disgaea 2: Cursed Memories,PS2,NIS America,Nippon Ichi Software,7.9,,0.33,2006
6267,Clock Tower 3,PS2,Capcom,SunSoft,7,,0.33,2003
6268,Night at the Museum: Battle of the Smithsonian,Wii,Majesco,"Pipeworks Software, Inc.",,,0.33,2009
6269,Battle Dodge Ball,SNES,Banpresto,Banpresto,,,0.33,1991
6270,Call of Duty 2: Big Red One,GC,Activision,Treyarch,7.5,,0.33,2005
6271,Murdered: Soul Suspect,PS4,Square Enix,Airtight Games,5.9,6.9,0.33,2014
6272,Harry Potter and the Half-Blood Prince,PS3,Electronic Arts,Bright Light Productions,7.7,,0.33,2009
6273,Resonance of Fate,X360,Sega,tri-Ace,7.4,,0.33,2010
6274,The X-Factor,Wii,Deep Silver,Deep Silver,,,0.33,2010
6275,Def Jam Rapstar,Wii,Konami,4mm Games / Terminal Reality,,,0.33,2010
6276,PlayerUnknown's Battlegrounds,PS4,Sony Interactive Entertainment,PUBG Corporation,7.2,3.3,0.33,2018
6277,The Adventures of Tintin: The Game,Wii,Ubisoft,Ubisoft,,,0.33,2011
6278,Chicken Riot,Wii,City Interactive,City Interactive,,,0.33,2010
6279,Disgaea: Hour of Darkness,PS2,Atlus,Nippon Ichi Software,8.8,,0.33,2003
6280,NeoGeo Battle Coliseum,PS2,SNK Playmore,SNK Playmore Corporation,,,0.33,2007
6281,Kirby: Battle Royale,3DS,Nintendo,HAL Laboratory,6,,0.33,2018
6282,Spongebob Squarepants: Creature from the Krusty Krab,GC,THQ,Blitz Games,,,0.33,2006
6283,Capcom Classics Collection Reloaded,PSP,Capcom,Capcom,7.1,,0.33,2006
6284,Farming Simulator 17,XOne,Focus Home Interactive,Giants Software,,,0.33,2016
6285,Data Hacker: Reboot,PC,New Reality Games,New Reality Games,,,0.33,2015
6286,MLB 08: The Show,PSP,Sony Computer Entertainment,SCEA San Diego Studios,8.3,,0.33,2008
6287,Parodius,PS,Konami,Konami,,,0.33,1996
6288,Tokyo Mirage Sessions #FE,WiiU,Nintendo,Atlus,8,7.9,0.33,2016
6289,SSX Blur,Wii,EA Sports BIG,EA Montreal,8.4,,0.33,2007
6290,Spy Kids 3-D: Game Over,GBA,Disney Interactive Studios,Digital Eclipse,,,0.33,2003
6291,Sakura Wars 3: Paris wa Moeteiru ka,DC,Sega,Overworks,,,0.33,2001
6292,NCAA GameBreaker 2001,PS,Sony Computer Entertainment,989 Sports,7.2,,0.33,2000
6293,Power Rangers: Ninja Storm,GBA,THQ,Natsume,,,0.33,2003
6294,MX vs. ATV Untamed,Wii,THQ,Rainbow Studios,7,,0.33,2008
6295,Naruto: Gekitou Ninja Taisen! 4,GC,Tomy Corporation,Eighting,,,0.33,2005
6296,Sniper Elite III,X360,505 Games,Rebellion Developments,,,0.33,2014
6297,Kidou Senshi Gundam F91: Formula Senki 0122,SNES,Bandai,Bandai,,,0.33,1991
6298,MVP Baseball 2005,GC,EA Sports,EA Canada,8.7,,0.33,2005
6299,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,DS,Rocket Company,Imagineer,,,0.33,2007
6300,Dark Souls: Remastered,NS,Bandai Namco Entertainment,From Software,8.8,9,0.33,2018
6301,DX Game of Life 2,PS,Takara,Takara,,,0.33,1997
6302,Fable III,PC,Microsoft Game Studios,Lionhead Studios,7,5.5,0.33,2011
6303,The Room,PC,Fireproof Games,Fireproof Games,,,0.33,2014
6304,NBA Live 96,PS,Electronic Arts,EA Canada,,,0.33,1996
6305,DECA Sports Freedom,X360,Hudson Soft,Hudson Soft,3,,0.33,2010
6306,Family Party: 90 Great Games Party Pack,Wii,D3 Publisher,D3 Publisher,,,0.33,2010
6307,Samurai Warriors 2: Xtreme Legends (JP sales),PS2,KOEI,Omega Force,,,0.33,2008
6308,Teen Titans,GC,THQ,A2M,6.3,,0.33,2006
6309,"Warhammer 40,000: Squad Command",PSP,THQ,RedLynx,6.6,,0.33,2007
6310,Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,3DS,Namco Bandai Games,Namco Bandai Games,,,0.33,2014
6311,Frogger II: Threeedeep!,2600,Parker Bros.,Parker Bros,,,0.33,1984
6312,Golden Axe: Beast Rider,X360,Sega,Secret Level,4,7,0.33,2008
6313,Iron Man 2,Wii,Sega,"Sega Studios, San Francisco",5.5,,0.33,2010
6314,NBA Live 06,GC,EA Sports,EA Canada,9,,0.33,2005
6315,Fate/Extra,PSP,Aksys Games,imageepoch Inc.,,,0.33,2011
6316,Fireball,2600,Unknown,Starpath Corp.,,,0.33,1982
6317,Football Manager 2017,PC,Sega,Sports Interactive,8,5.2,0.33,2016
6318,Buzz! The Ultimate Music Quiz,PS3,Sony Computer Entertainment,Relentless Software,,,0.33,2010
6319,Dr. Mario / Puzzle League,GBA,Nintendo,Intelligent Systems,7.5,,0.33,2005
6320,Disney Fairies: Tinker Bell and the Great Fairy Rescue,DS,Disney Interactive Studios,Hyde,,,0.33,2010
6321,Shin Nippon Pro Wrestling: Toukon Retsuden,PS,Tomy Corporation,Yuke's Media Creations,,,0.33,1995
6322,Major League Baseball 2K6,XB,2K Sports,Kush Games,7.3,,0.33,2006
6323,Pinball Hall of Fame: The Gottlieb Collection,PS2,Crave Entertainment,FarSight Studios,,,0.33,2004
6324,EA Playground,DS,Electronic Arts,Piranha Games,7,,0.33,2007
6325,Harry Potter and the Deathly Hallows - Part 2,PS3,Electronic Arts,EA Bright Light,,,0.33,2011
6326,Discovery Kids: Puppy Playtime,DS,505 Games,505 Games,,,0.33,2009
6327,Style Lab: Jewelry Design,DS,Ubisoft,1st Playable Productions,,,0.33,2009
6328,Medal of Honor: Warfighter,PC,Electronic Arts,Danger Close Games,5.5,5.4,0.33,2012
6329,The Witcher: Enhanced Edition,PC,Atari,CD Projekt Red Studio,8.3,,0.33,2008
6330,NCAA Basketball 10,X360,Electronic Arts,EA Canada,7.8,,0.32,2009
6331,Final Fantasy XI: Wings of the Goddess,X360,Square Enix,Square Enix,6.5,,0.32,2007
6332,Teenage Mutant Ninja Turtles 2: Battle Nexus,GBA,Konami,Konami,,,0.32,2004
6333,Elebits,Wii,Konami,Konami,7.3,,0.32,2006
6334,Nicktoons: Movin,PS2,THQ,Unknown,,,0.32,2004
6335,Silent Hill: Downpour,X360,Konami,Konami,4.5,,0.32,2012
6336,Power Rangers Samurai,Wii,Namco Bandai,Namco Bandai Games,,,0.32,2011
6337,One Piece: Romance Dawn,PSP,Namco Bandai Games,Three Rings,,,0.32,2012
6338,SWAT: Global Strike Team,PS2,Sierra Entertainment,Argonaut Games,6.6,,0.32,2003
6339,Battlestations: Pacific,X360,Eidos Interactive,Eidos Studios Hungary,7.7,,0.32,2009
6340,Championship Bass,PS,EA Sports,EA Seattle,7.1,,0.32,2000
6341,Golden Axe: Beast Rider,PS3,Sega,Secret Level,4.5,,0.32,2008
6342,And Yet It Moves,PC,Broken Rules,TU Wien,8,,0.32,2009
6343,Dead Rising 2: Off the Record,PS3,Capcom,Blue Castle Games,7.1,,0.32,2011
6344,Drakengard 3,PS3,Square Enix,Unknown,,,0.32,2014
6345,The Black Eyed Peas Experience,X360,Ubisoft,Ubisoft,6,,0.32,2011
6346,Silent Hill HD Collection,PS3,Konami Digital Entertainment,Konami,9,,0.32,2012
6347,DiRT 2,PSP,Codemasters,Codemasters,,,0.32,2009
6348,Ben 10 Ultimate Alien: Cosmic Destruction,DS,D3 Publisher,Griptonite Games,,,0.32,2010
6349,NHL Breakaway 98,N64,Acclaim Entertainment,Iguana Entertainment,,,0.32,1998
6350,Bratz: Girlz Really Rock,DS,THQ,Barking Lizards Technologies LLC,,,0.32,2008
6351,Marvel: Ultimate Alliance 2,Wii,Activision,n-Space,5.6,,0.32,2009
6352,Hatsune Miku: Project Diva F 2nd,PSV,Sega,Sega,8.1,8.5,0.32,2014
6353,Momotarou Dentetsu 20-Shuunen,DS,Hudson Soft,Hudson Soft,,,0.32,2008
6354,Kinetica,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,8,,0.32,2001
6355,Eternal Sonata,X360,Namco Bandai,Tri-Crescendo,7.9,,0.32,2007
6356,Shin Megami Tensei: Persona 2: Innocent Sin,PSP,Atlus,Atlus Co.,7,,0.32,2011
6357,Wipeout 2,Wii,Activision,Endemol,,,0.32,2011
6358,Bust-A-Move '99,PS,Acclaim Entertainment,Taito Corporation,7.7,,0.32,1999
6359,NBA Street V3,XB,EA Sports BIG,EA Canada,9.4,,0.32,2005
6360,Pony Friends 2,DS,Square Enix,Tantalus Interactive,,,0.32,2010
6361,My Baby: First Steps,DS,SouthPeak Interactive,Nobilis,,,0.32,2009
6362,Dragon Quest Monsters 1?ú2,PS,Enix,TOSE,,,0.32,2002
6363,Kurushi Final: Mental Blocks,PS,Sony Computer Entertainment,Sony Computer Entertainment,,,0.32,1999
6364,Operation Flashpoint: Red River,PS3,Codemasters,Codemasters,6.8,,0.32,2011
6365,Dead Space 2,PC,Electronic Arts,Visceral Games,8.9,8.4,0.32,2011
6366,Army of Two: The 40th Day,PSP,Electronic Arts,Buzz Monkey Software,4.8,,0.32,2010
6367,God Mode,PC,Atlus,Unknown,6.7,6.8,0.32,2014
6368,F1 Race Stars,PS3,Codemasters,Codemasters Birmingham,5.2,,0.32,2012
6369,OverBlood,PS,Electronic Arts,Riverhillsoft,,,0.32,1997
6370,Borderlands: The Pre-Sequel,PC,2K Games,Unknown,7.5,6.3,0.32,2014
6371,ESPN X-Games Pro Boarder,PS,Electronic Arts,Radical Entertainment,,,0.32,1998
6372,LEGO The Incredibles,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,7.4,6.9,0.32,2018
6373,Power Rangers Samurai,DS,Namco Bandai,Namco Bandai Games,,,0.32,2011
6374,Battlefleet Gothic: Armada,PC,Koch Media,Tindalos Interactive,7.7,7.4,0.32,2016
6375,FIFA Street 3,PS3,EA Sports BIG,EA Canada,6.7,,0.32,2008
6376,Harvest Moon: Back to Nature,PS,Natsume,Victor Interactive Software,7.5,,0.32,2000
6377,Overlord II,X360,Codemasters,Triumph Studios,6,,0.32,2009
6378,Naruto: Ultimate Ninja (JP sales),PS2,Namco Bandai,CyberConnect2,,,0.32,2006
6379,Dance Dance Revolution Universe,X360,Konami,Bemani,8.7,,0.32,2007
6380,Final Fantasy XI: Online,PS2,Square Enix,Square Enix,8.4,,0.32,2004
6381,Madden NFL 09,DS,EA Sports,EA Tiburon,7,,0.32,2008
6382,MLB 07: The Show,PS3,Sony Computer Entertainment,SCE San Diego Studio,7.7,,0.32,2007
6383,Bleach: Shattered Blade,Wii,Sega,Polygon Magic,5.3,,0.32,2007
6384,Beautiful Katamari,X360,Namco Bandai,Now Production,7.3,,0.32,2007
6385,"Go, Diego, Go!: Great Dinosaur Rescue",PS2,2K Play,High Voltage Software,,,0.32,2008
6386,Vin Diesel: Wheelman,PS3,Ubisoft,Tigon,6.9,,0.32,2009
6387,Darkwatch,PS2,Capcom,High Moon Studios,7.6,,0.32,2005
6388,Chibi-Robo! Zip Lash,3DS,Nintendo,Nintendo,5.5,6.8,0.32,2015
6389,Tony Hawk's American Wasteland,X360,Activision,Neversoft Entertainment,8.2,,0.32,2005
6390,The Bridge,PC,Unknown,Unknown,,,0.32,2013
6391,LEGO Marvel's Avengers,WiiU,Warner Bros. Interactive Entertainment,Traveller's Tales,,,0.32,2016
6392,Prince of Persia: The Sands of Time,GC,Ubisoft,Ubisoft Montreal,9,,0.32,2003
6393,Sky Odyssey,PS2,Activision,CAProduction,9,,0.32,2000
6394,Folklore,PS3,Sony Computer Entertainment,Game Republic,7.5,8.7,0.32,2007
6395,Zeno Clash,PC,Tripwire Interactive,ACE Team,8.4,,0.32,2009
6396,Nagano Winter Olympics 98,N64,Konami,Konami Computer Entertainment Osaka,,,0.32,1998
6397,Rayman 2: The Great Escape,PS,Ubisoft,Ubisoft Shanghai,8.7,,0.32,2000
6398,Kirby's Block Ball,GB,Nintendo,HAL Laboratory,,,0.32,1996
6399,South Park: The Fractured But Whole,PC,Ubisoft,Ubisoft San Francisco,8.1,6.7,0.32,2017
6400,Fortress,GBA,Majesco,Pipe Dream Interactive,6.6,,0.32,2001
6401,FIFA 2001 Major League Soccer,PS,EA Sports,EA Canada,,,0.32,2000
6402,Karaoke Revolution Presents American Idol Encore 2,Wii,Konami,Blitz Games,5.3,,0.32,2008
6403,Rally Cross,PS,Sony Computer Entertainment,Sony Computer Entertainment America,7,,0.32,1997
6404,Frogger's Adventures: The Rescue,PS2,Konami,Konami,5.5,,0.32,2003
6405,Extreme Pinball,PS,Electronic Arts,Epic Games,,,0.32,1996
6406,Karaoke Revolution Volume 3,PS2,Konami,Harmonix Music Systems,,,0.32,2004
6407,Phineas and Ferb: Across the 2nd Dimension,PS3,Disney Interactive Studios,High Impact Games,6.8,,0.32,2011
6408,The Jackbox Party Pack 3,PC,Jackbox Games,Jackbox Games,,,0.32,2016
6409,Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,PS2,ASCII Entertainment,VIVARIUM Inc.,,,0.32,2001
6410,Street Fighter Alpha 2,SAT,Capcom,Capcom,8.1,,0.32,1996
6411,No.1 Muscle Ranking - Kinniku Banzuke Vol. 1: Oregasaikyouno Otokoda!,PS,Konami,Konami,,,0.32,1999
6412,Spintires: MudRunner,PC,Focus Home Interactive,Saber Interactive,7.7,7.5,0.32,2017
6413,Cartoon Network Collection: Game Boy Advance Video Platinum Edition,GBA,Majesco,Majesco Games,,,0.32,2005
6414,Ultimate Fighting Championship: Throwdown,PS2,Crave Entertainment,Opus Studio,,,0.32,2002
6415,SpongeBob SquarePants: Double Pack,GBA,THQ,THQ,,,0.32,2005
6416,Tetris 2 + Bombliss,NES,BPS,ChunSoft,,,0.32,1991
6417,"Carnival Games: Monkey See, Monkey Do!",X360,2K Play,Take-Two Interactive,,,0.32,2011
6418,Disney's Extreme Skate Adventure,PS2,Activision,Toys for Bob,7.8,,0.32,2003
6419,Rock Band Country Track Pack,PS2,MTV Games,Harmonix Music Systems,,,0.32,2009
6420,WipEout Pulse,PSP,Sony Computer Entertainment,Studio Liverpool,8.2,,0.32,2008
6421,Farming Simulator 19,XOne,Focus Home Interactive,Giants Software,,,0.32,2018
6422,Prey,X360,2K Games,Venom Games / Human Head Studios,8.2,,0.32,2006
6423,"Ed, Edd n Eddy: Jawbreakers!",GBA,BAM! Entertainment,Crawfish Interactive - Climax,5,,0.32,2002
6424,F1 2016,PC,Codemasters,Codemasters,8.6,7.7,0.32,2017
6425,Dragster,2600,Activision,Activision,,,0.32,1980
6426,Frankenstein's Monster,2600,Data Age,Data Age,,,0.32,1983
6427,BlazBlue: Chrono Phantasma,PS3,Arc System Works,Arc System Works,,,0.32,2014
6428,Riven: The Sequel to Myst,PS,Acclaim Entertainment,SunSoft,7,,0.32,1997
6429,Derby Stallion DS,DS,Enterbrain,ParityBit,,,0.32,2008
6430,Cabela's Dangerous Hunts 2011,X360,Activision,Cauldron,,,0.32,2010
6431,The Darkness II,PS3,2K Games,Digital Extremes,8,,0.32,2012
6432,Cars 3: Driven to Win,NS,Warner Bros. Interactive Entertainment,Avalanche Software,5.9,5.3,0.32,2017
6433,The Biggest Loser,DS,THQ,Webfoot Technologies,6.8,,0.32,2009
6434,NBA 2K3,XB,Sega,Visual Concepts,8.9,,0.32,2002
6435,Batman: Arkham Origins,WiiU,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,7.8,,0.32,2013
6436,Dragon Ball Z: Battle of Z,PS3,Namco Bandai Games,ArtDink,6.6,,0.32,2014
6437,Dragon Quest Monsters: Battle Road Victory,Wii,Square Enix,Armor Project/Bird Studio,,,0.32,2010
6438,Shin Momotarou Densetsu,SNES,Hudson Soft,Hudson Soft,,,0.32,1993
6439,From TV Animation One Piece: Grand Battle! 3,PS2,Bandai,Ganbarion,,,0.32,2003
6440,Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,GungHo Online Entertainment,GungHo Online Entertainment,,,0.32,2016
6441,Bigfoot: Collision Course,Wii,Zoo Digital Publishing,Destination Software,2.1,,0.32,2008
6442,Sega Smash Pack,GBA,THQ,CodeFire,,,0.32,2002
6443,All-Star Baseball 2005,PS2,Acclaim Entertainment,Acclaim Entertainment,7.9,,0.32,2004
6444,Marvel Nemesis: Rise of the Imperfects,PSP,Electronic Arts,Team Fusion,6.8,,0.32,2005
6445,The Conveni: Ano Machi wo Dokusen Seyo,PS,Human Entertainment,Human Entertainment,,,0.32,1997
6446,Shin Super Robot Taisen Special Disk,PS,Banpresto,Banpresto,,,0.32,1997
6447,Live A Live,SNES,Square,SquareSoft,,,0.32,1994
6448,NFL Fever 2004,XB,Microsoft Game Studios,Microsoft Game Studios,7.5,,0.32,2003
6449,Madden NFL 2002,GBA,EA Sports,BudCat Creations,7.8,,0.32,2001
6450,UEFA Euro 2008 Austria-Switzerland,PS2,Electronic Arts,Unknown,,,0.32,2008
6451,Test Drive Unlimited,X360,Atari,Eden Studios,8,,0.32,2006
6452,Singularity,X360,Activision,Raven Software,7.7,,0.32,2010
6453,Birthday Party Bash,Wii,2K Play,Cat Daddy Games,,,0.32,2009
6454,Kingdom Under Fire: The Crusaders,XB,Microsoft,Phantagram,8.2,,0.32,2004
6455,Goosebumps HorrorLand,DS,Scholastic Inc.,Gusto Games,,,0.32,2008
6456,4x4 Evolution,PS2,Gathering of Developers,Terminal Reality,,,0.32,2001
6457,Clive Barker's Jericho,X360,Codemasters,Mercury Steam / Alchemic Productions,5.8,,0.32,2007
6458,LEGO The Lord of the Rings,PSV,Warner Bros. Interactive Entertainment,TT Fusion,3.8,5.6,0.32,2012
6459,Overlord II,PS3,Codemasters,Triumph Studios,6,,0.32,2009
6460,Momotarou Dentetsu Happy,SNES,Hudson Soft,Hudson Soft,,,0.32,1996
6461,Power Rangers: Time Force,PS,THQ,Climax Group,,,0.32,2001
6462,Payday 2,PS4,505 Games,Overkill Software,6.5,,0.32,2015
6463,Romance of the Three Kingdoms VII,PS2,KOEI,Koei,8.5,,0.32,2002
6464,Atom Zombie Smasher,PC,Unknown,Blendo Games,7.2,7.1,0.32,2011
6465,Chicken Blaster,Wii,Zoo Games,FrontLine Studios,,,0.32,2009
6466,Littlest Pet Shop: City Friends,DS,Electronic Arts,EA Salt Lake,,,0.32,2009
6467,BlazBlue: Continuum Shift,X360,Aksys Games,Arc System Works,8.6,,0.32,2010
6468,DJ Hero,PS2,Activision,FreeStyleGames,8.3,,0.32,2009
6469,"Monsters, Inc.",PS2,Sony Computer Entertainment,Artificial Mind and Movement,2.9,,0.32,2002
6470,Rugby World Cup 2011,PS3,505 Games,HB Studios Multimedia,4.5,,0.32,2011
6471,Quiz Magic Academy DS,DS,Konami,Konami,,,0.32,2008
6472,Crash of the Titans,X360,Sierra Entertainment,Radical Entertainment,6.6,,0.32,2007
6473,Dynasty Warriors 4 Empires,PS2,KOEI,Omega Force,,,0.32,2004
6474,Shenmue II,XB,Microsoft,Sega-AM2,7.9,,0.32,2002
6475,Heart of Darkness,PS,Interplay,Amazing Studios,7.8,,0.32,1998
6476,Virtua Striker 2,DC,Sega,Sega,,,0.32,2000
6477,Little Deviants,PSV,Sony Computer Entertainment,Bigbig Studios,6,5.5,0.32,2012
6478,Shin Megami Tensei: Devil Survivor 2,DS,Atlus,Atlus Co.,,,0.31,2012
6479,LUFTRAUSERS,PC,Vlambeer,Unknown,,,0.31,2014
6480,Etrian Odyssey III: The Drowned City,DS,Atlus,Atlus Co. / Lancarse,7.3,,0.31,2010
6481,Shrek the Third,PSP,Activision,Amaze Entertainment,6,,0.31,2007
6482,WarCraft II: The Dark Saga,PS,Electronic Arts,Blizzard Entertainment,7.3,,0.31,1997
6483,1001 Touch Games,DS,Unknown,Avanquest Software,,,0.31,2011
6484,METRO Redux,XOne,Deep Silver,4a-games,,,0.31,2014
6485,MonHun Nikki: Poka Poka Ailu Mura G,PSP,Capcom,From Software,,,0.31,2011
6486,Harry Potter and the Half-Blood Prince,X360,Electronic Arts,Bright Light Productions,7.7,,0.31,2009
6487,Senran Kagura Shinovi Versus,PSV,Xseed Games,Tamsoft,6.7,7.8,0.31,2014
6488,Crash Nitro Kart,XB,VU Games,Vicarious Visions,7.4,,0.31,2003
6489,Monster Lab,Wii,Eidos Interactive,Backbone Entertainment,7.9,,0.31,2008
6490,NBA ShootOut,PS,Sony Computer Entertainment,Sony Interactive Studios America,6,,0.31,1996
6491,Bust-A-Move Universe,3DS,Square Enix,Arika,5.6,4.8,0.31,2011
6492,Jikkyou Powerful Pro Yakyuu 14,PS2,Konami,PawaPuro Production,,,0.31,2007
6493,Fishing Master,Wii,Konami,Hudson Soft,5.5,,0.31,2007
6494,Ultimate Marvel vs. Capcom 3,PSV,Capcom,Capcom,8,7.8,0.31,2012
6495,Peppa Pig: Theme Park Fun,DS,P2 Games,Strawdogs Studios Limited,,,0.31,2011
6496,Madden NFL 2004,GBA,EA Sports,BudCat Creations,,,0.31,2003
6497,Digimon World: Dawn / Dusk,DS,Namco Bandai,Bandai Namco Games,,,0.31,2007
6498,Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,SNES,Konami,Konami,,,0.31,1995
6499,Manhunt 2,PSP,Rockstar Games,Rockstar London,7.5,,0.31,2007
6500,Jikkyou Powerful Pro Yakyuu Portable 3,PSP,Konami,PawaPuro Productions,,,0.31,2008
6501,Mario Golf,GB,Nintendo,Camelot Software Planning,,,0.31,1999
6502,Pandora's Tower,Wii,Xseed Games,Ganbarion,7,,0.31,2013
6503,Sonic Boom: Rise of Lyric,WiiU,Sega,Big Red Button,3.7,3.5,0.31,2014
6504,Sesame Street: Elmo's Letter Adventure,PS,NewKidCo,Realtime Associates,,,0.31,1998
6505,Catherine,X360,Atlus,Atlus,7.9,,0.31,2011
6506,NBA Inside Drive 2003,XB,Microsoft Game Studios,High Voltage Software,8.2,,0.31,2002
6507,FIFA Street,PS2,EA Sports BIG,EA Canada,,,0.31,2005
6508,Namco Museum: Virtual Arcade,X360,Namco Bandai,Namco Bandai Games,7,,0.31,2008
6509,Monsters vs. Aliens,PS3,Activision,Beenox,,,0.31,2009
6510,Sniper Elite III,PS3,505 Games,Rebellion Developments,,,0.31,2014
6511,Jampack: Summer 2003 (RP-M),PS2,Sony Computer Entertainment,Sony Computer Entertainment America,,,0.31,2003
6512,Alone in the Dark: One-Eyed Jack's Revenge,PS,Kokopeli Digital Studios,I*Motion,,,0.31,1996
6513,Yu-Gi-Oh! The Dawn of Destiny,XB,Konami,Konami Computer Entertainment Japan,5,,0.31,2004
6514,The Matrix: Path of Neo,XB,Atari,Shiny Entertainment,6.7,,0.31,2005
6515,Mega Man Maverick Hunter X,PSP,Capcom,Capcom,7.9,,0.31,2006
6516,Modnation Racers: Road Trip,PSV,Sony Computer Entertainment,SCEA,,,0.31,2012
6517,Mortal Kombat: Shaolin Monks,XB,Midway Games,Midway Studios Los Angeles,8,,0.31,2005
6518,7 Wonders II,DS,Mumbo Jumbo,MumboJumbo,,,0.31,2010
6519,Einh??nder,PS,Sony Computer Entertainment,SquareSoft,,,0.31,1998
6520,Tiny Toon Adventures: The Great Beanstalk,PS,NewKidCo,Terraglyph Interactive Studios,,,0.31,1998
6521,Foto Frenzy: Spot The Diffrence,DS,Storm City Games,Storm City Games,,,0.31,2009
6522,Clash of the Titans: The Videogame,PS3,Namco Bandai,Game Republic,,,0.31,2010
6523,My Horse & Me,Wii,Atari,W!Games,,,0.31,2008
6524,The Legend of Spyro: Dawn of the Dragon,X360,Vivendi Games,Etranges Libellules,7.3,,0.31,2008
6525,Dragon Quest Builders: Revive Alefgard,PSV,Square Enix,Square Enix,,,0.31,2016
6526,Fuel,X360,Codemasters,Asobo Studios,6.6,,0.31,2009
6527,Armored Core: Silent Line,PS2,Agetec,From Software,,,0.31,2003
6528,SD Gundam G Generation Wars,PS2,Bandai,Tom Create,,,0.31,2009
6529,Dr. Seuss: How the Grinch Stole Christmas,DS,CokeM Interactive,Unknown,,,0.31,2007
6530,Panzer Dragoon II Zwei,SAT,Sega,Team Andromeda,,,0.31,1996
6531,KISS Pinball,PS,Take-Two Interactive,Take-Two Interactive,3,,0.31,2001
6532,Brothers In Arms: Earned In Blood,XB,Ubisoft,Unknown,,,0.31,2005
6533,Dark Void,X360,Capcom,Airtight Games,6.1,,0.31,2010
6534,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,THQ,Vicarious Visions,,,0.31,2005
6535,Super Robot Taisen Complete Box,PS,Banpresto,Bandai,,,0.31,1999
6536,Gold's Gym: Cardio Workout (Others sales),Wii,Ubisoft,Rocket Company,,,0.31,2009
6537,The LEGO Movie Videogame,PSV,Warner Bros. Interactive Entertainment,TT Fusion,,,0.31,2014
6538,XCOM 2,PC,2K Games,Firaxis Games,8.8,7.2,0.31,2015
6539,SimAnimals,Wii,Electronic Arts,Electronic Arts,5.3,,0.31,2009
6540,UEFA Euro 2016,PS4,Konami Digital Entertainment,Konami Digital Entertainment,,,0.31,2016
6541,Barbie as The Island Princess,DS,Activision,Human Soft / Ivolgamus,5.5,,0.31,2007
6542,Happy Feet,DS,Midway Games,Artificial Mind and Movement,5,,0.31,2006
6543,Animal Crossing,N64,Nintendo,Nintendo EAD,,,0.31,2001
6544,Bass Hunter 64,N64,Take-Two Interactive,Gear Head Entertainment,6,,0.31,1999
6545,DmC Devil May Cry: Definitive Edition,PS4,Capcom,QLOC,,,0.31,2015
6546,Goemon's Great Adventure,N64,Konami,Konami Computer Entertainment Osaka,8,,0.31,1999
6547,Hot Wheels Turbo Racing,N64,Electronic Arts,Stormfront Studios,,,0.31,1999
