Name,Platform,Publisher,Developer,Total_Shipped,Year
Terraria for PC,PC,Unknown,Re-Logic,14.0,2011
Tetris for GB,GB,Nintendo,Bullet Proof Software,30.26,1989
Tetris for NES,NES,Nintendo,Nintendo,5.58,1989
The Binding of Isaac for PC,PC,Edmund McMillen,Edmund McMillen,7.17,2011
The Elder Scrolls IV: Oblivion for X360,X360,Take-Two Interactive,Bethesda Softworks,4.47,2009
The Elder Scrolls V: Skyrim for PC,PC,Bethesda Softworks,Bethesda Game Studios,3.99,2011
The Elder Scrolls V: Skyrim for PS3,PS3,Bethesda Softworks,Bethesda Game Studios,6.49,2011
The Elder Scrolls V: Skyrim for X360,X360,Bethesda Softworks,Bethesda Game Studios,8.88,2011
The Forest for PC,PC,Endnight Games Ltd,Unknown,5.3,2014
The Last of Us Remastered for PS4,PS4,Sony Computer Entertainment,Naughty Dog,11.78,2014
The Last of Us for PS3,PS3,Sony Computer Entertainment America,Naughty Dog,8.15,2013
The Last of Us: Part II for PS4,PS4,Sony Interactive Entertainment,Naughty Dog,4.0,2020
The Legend of Zelda for NES,NES,Nintendo,Nintendo EAD,6.51,1987
The Legend of Zelda: A Link Between Worlds for 3DS,3DS,Nintendo,Nintendo EAD,4.07,2013
The Legend of Zelda: A Link to the Past for SNES,SNES,Nintendo,Nintendo EAD,4.61,1992
The Legend of Zelda: Breath of the Wild for NS,NS,Nintendo,Nintendo EPD,17.41,2017
The Legend of Zelda: Link's Awakening for NS,NS,Nintendo,Nintendo,4.38,2019
The Legend of Zelda: Ocarina of Time 3D for 3DS,3DS,Nintendo,GREZZO,6.02,2011
The Legend of Zelda: Ocarina of Time for N64,N64,Nintendo,Nintendo EAD,7.6,1998
The Legend of Zelda: Oracle of Ages / Seasons for GBC,GBC,Nintendo,Capcom,3.99,2001
The Legend of Zelda: Phantom Hourglass for DS,DS,Nintendo,Nintendo EAD,4.76,2007
The Legend of Zelda: The Wind Waker for GC,GC,Nintendo,Nintendo EAD,4.43,2003
The Legend of Zelda: Twilight Princess for Wii,Wii,Nintendo,Nintendo EAD,7.26,2006
The Lord of the Rings: The Two Towers for PS2,PS2,Electronic Arts,Stormfront Studios,4.67,2002
The Simpsons: Hit & Run for PS2,PS2,VU Games,Radical Entertainment,4.7,2003
The Sims 3 for PC,PC,Electronic Arts,EA Redwood Shores,7.96,2009
The Sims 4 for PC,PC,Electronic Arts,Maxis,4.1,2014
The Witcher 3: Wild Hunt for PC,PC,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,12.4,2015
The Witcher 3: Wild Hunt for PS4,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,10.8,2015
The Witcher 3: Wild Hunt for XOne,XOne,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,4.3,2015
Tom Clancy's Rainbow Six: Siege for PS4,PS4,Ubisoft,Ubisoft Montreal,4.36,2015
Tom Clancy's The Division for PS4,PS4,Ubisoft,Massive Entertainment,4.37,2016
Tomb Raider (2013) for PC,PC,Square Enix,Crystal Dynamics,5.5,2013
Tomb Raider II for PS,PS,Eidos Interactive,Core Design Ltd.,5.24,1997
Tomb Raider for PS,PS,Eidos Interactive,Core Design Ltd.,4.63,1996
Tomodachi Life for 3DS,3DS,Nintendo,Nintendo,6.59,2014
Tony Hawk's Pro Skater 2 for PS,PS,Activision,Neversoft Entertainment,4.68,2000
Tony Hawk's Pro Skater 3 for PS2,PS2,Activision,Neversoft Entertainment,4.41,2001
Tony Hawk's Pro Skater for PS,PS,Activision,Neversoft Entertainment,5.02,1999
Uncharted 2: Among Thieves for PS3,PS3,Sony Computer Entertainment,Naughty Dog,6.74,2009
Uncharted 3: Drake's Deception for PS3,PS3,Sony Computer Entertainment,Naughty Dog,9.3,2011
Uncharted 4: A Thief's End for PS4,PS4,Sony Interactive Entertainment,Naughty Dog,16.25,2016
Uncharted: Drake's Fortune for PS3,PS3,Sony Computer Entertainment,Naughty Dog,4.97,2007
Uncharted: The Nathan Drake Collection for PS4,PS4,Sony Computer Entertainment,Bluepoint Games,5.7,2015
Warcraft III: Reign of Chaos for PC,PC,Blizzard Entertainment,Blizzard Entertainment,4.5,2002
Warzone 2100 for PS,PS,Eidos Interactive,Pumpkin Studios,5.01,1999
Watch Dogs for PS4,PS4,Ubisoft,Ubisoft Montreal,4.32,2014
Wii Fit Plus for Wii,Wii,Nintendo,Nintendo EAD,21.13,2009
Wii Fit for Wii,Wii,Nintendo,Nintendo EAD,22.67,2008
Wii Party for Wii,Wii,Nintendo,"Nd Cube Co., Ltd.",9.34,2010
Wii Play for Wii,Wii,Nintendo,Nintendo EAD,28.02,2007
Wii Sports Resort for Wii,Wii,Nintendo,Nintendo EAD,33.13,2009
Wii Sports for Wii,Wii,Nintendo,Nintendo EAD,82.9,2006
Winning Eleven: Pro Evolution Soccer 2007 for PS2,PS2,Konami,Konami Computer Entertainment Tokyo,4.39,2007
World Soccer Winning Eleven 9 for PS2,PS2,Konami,Konami Computer Entertainment Tokyo,4.06,2006
World of Warcraft for PC,PC,Blizzard Entertainment,Blizzard Entertainment,12.0,2004
World of Warcraft: Cataclysm for PC,PC,Blizzard Entertainment,Blizzard Entertainment,4.7,2010
World of Warcraft: Wrath of the Lich King for PC,PC,Blizzard Entertainment,Blizzard Entertainment,4.0,2008
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters for 3DS,3DS,Nintendo,Level 5,7.29,2016
Zelda II: The Adventure of Link for NES,NES,Nintendo,Nintendo EAD,4.38,1988
